Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #260, 0.936, 0.0, 0, 5815
Release #261, 0.9709, 0.0, 0, 5646
Release #262, 0.1236, 2.0, 2, 7819
Release #263, 0.4396, 0.0, 0, 9169
Release #264, 0.2945, 0.0, 0, 8778
Release #265, 0.6425, 0.0, 0, 6274
Release #266, 0.7408, 0.0, 0, 7354
Release #267, 0.9954, 0.0, 0, 8133
Release #268, 0.9201, 0.0, 0, 7227
Release #269, 0.8155, 0.0, 0, 8956
Release #270, 0.8953, 0.0, 0, 8219
Release #271, 0.4461, 2.0, 2, 3619
Release #272, 0.8035, 0.0, 0, 9083
Release #273, 0.6283, 0.0, 0, 3940
Release #274, 0.8368, 0.0, 0, 8556
Release #275, 0.6121, 0.0, 0, 8376
Release #276, 0.3951, 0.0, 0, 6782
Release #277, 0.5636, 0.0, 0, 8110
Release #278, 0.8101, 0.0, 0, 8179
Release #279, 0.7096, 0.0, 0, 9736
Release #280, 0.8294, 0.0, 0, 7942
Release #281, 0.4795, 2.0, 2, 2438
Release #282, 0.835, 0.0, 0, 7575
Release #283, 0.9555, 0.0, 0, 8989
Release #284, 0.1039, 2.0, 2, 9659
Release #285, 0.775, 0.0, 0, 3928
Release #286, 0.5275, 0.0, 0, 9734
Release #287, 0.4718, 0.0, 0, 8768
Release #288, 0.4246, 0.0, 0, 8140
Release #289, 0.6022, 0.0, 0, 8713
Release #290, 0.7056, 0.0, 0, 4760
Release #291, 0.7736, 0.0, 0, 9881
Release #292, 0.9209, 0.0, 0, 1521
Release #293, 0.0792, 2.0, 2, 7476
Release #294, 0.8209, 0.0, 0, 8040
Release #295, 0.7096, 0.0, 0, 9513
Release #296, 0.808, 0.0, 0, 8852
Release #297, 0.7436, 0.0, 0, 5582
Release #298, 0.7769, 0.0, 0, 5462
Release #299, 0.4156, 0.0, 0, 5913
Release #300, 0.9517, 0.0, 0, 6448
Release #301, 0.8549, 0.0, 0, 3024
Release #302, 0.4495, 2.0, 2, 3871
Release #303, 0.813, 0.0, 0, 4999
Release #304, 0.67, 0.0, 0, 5093
Release #305, 0.9677, 0.0, 0, 8187
Release #306, 0.4119, 2.0, 2, 6366
Release #307, 0.7676, 0.0, 0, 6120
Release #308, 0.5622, 0.0, 0, 7235
Release #309, 0.8192, 0.0, 0, 4174
Release #310, 0.6688, 0.0, 0, 7697
Release #311, 0.766, 0.0, 0, 9575
Release #312, 0.8536, 0.0, 0, 8891
Release #313, 0.6146, 0.0, 0, 7268
Release #314, 0.6538, 0.0, 0, 7035
Release #315, 0.5414, 0.0, 0, 7849
Release #316, 0.5719, 0.0, 0, 5927
Release #317, 0.2631, 2.0, 2, 6746
Release #318, 0.9373, 0.0, 0, 6504
Release #319, 0.9685, 0.0, 0, 9438
Release #320, 0.6928, 0.0, 0, 8959
Release #321, 0.8061, 0.0, 0, 6451
Release #322, 0.1307, 2.0, 2, 4980
Release #323, 0.7207, 0.0, 0, 5180
Release #324, 0.752, 0.0, 0, 5015
Release #325, 0.2475, 0.0, 0, 8621
Release #326, 0.4935, 0.0, 0, 5580
Release #327, 0.1308, 2.0, 2, 9846
Release #328, 0.3706, 0.0, 0, 8242
Release #329, 0.6648, 0.0, 0, 8633
Release #330, 0.632, 0.0, 0, 9270
Release #331, 0.8693, 0.0, 0, 8059
Release #332, 0.7551, 0.0, 0, 8934
Release #333, 0.9967, 0.0, 0, 7903
Release #334, 0.4797, 0.0, 0, 8967
Release #335, 0.7556, 0.0, 0, 6549
Release #336, 0.7731, 0.0, 0, 6441
Release #337, 0.2893, 2.0, 2, 5673
Release #338, 0.7046, 0.0, 0, 6061
Release #339, 0.8014, 0.0, 0, 7712
Release #340, 0.9113, 0.0, 0, 4320
Release #341, 0.4686, 0.0, 0, 7389
Release #342, 0.8812, 0.0, 0, 8983
Release #343, 0.9089, 0.0, 0, 7585
Release #344, 0.615, 2.0, 2, 9814
Release #345, 0.4993, 0.0, 0, 8255
Release #346, 0.6268, 0.0, 0, 6035
Release #347, 0.8599, 0.0, 0, 7733
Release #348, 0.8307, 0.0, 0, 6116
Release #349, 0.9398, 0.0, 0, 9799
Release #350, 0.2952, 2.0, 2, 8369
Release #351, 0.5975, 0.0, 0, 8246
Release #352, 0.463, 0.0, 0, 5884
Release #353, 0.9515, 0.0, 0, 3074
Release #354, 0.6424, 0.0, 0, 9401
Release #355, 0.7962, 0.0, 0, 7996
Release #356, 0.8385, 0.0, 0, 6056
Release #357, 0.6721, 0.0, 0, 8390
Release #358, 0.8197, 0.0, 0, 9746
Release #359, 0.6035, 0.0, 0, 7040
Release #360, 0.8069, 0.0, 0, 8954
Release #361, 0.6428, 0.0, 0, 6913
Release #362, 0.8683, 0.0, 0, 6984
Release #363, 0.9643, 0.0, 0, 3976
Release #364, 0.7891, 0.0, 0, 8027
Release #365, 0.76, 0.0, 0, 2673
Release #366, 0.3279, 0.0, 0, 7865
Release #367, 0.7674, 0.0, 0, 9641
Release #368, 0.7856, 0.0, 0, 7956
Release #369, 0.6213, 2.0, 2, 8348
Release #370, 0.6633, 0.0, 0, 3770
Release #371, 0.3896, 0.0, 0, 9663
Release #372, 0.8577, 0.0, 0, 4194
Release #373, 0.4687, 2.0, 2, 6754
Release #374, 0.9321, 0.0, 0, 5379
Release #375, 0.8251, 0.0, 0, 4140
Release #376, 0.829, 0.0, 0, 8023
Release #377, 0.4266, 2.0, 2, 4503
Release #378, 0.642, 0.0, 0, 7203
Release #379, 0.3922, 0.0, 0, 6865
Release #380, 0.6053, 0.0, 0, 6670
Release #381, 0.4104, 0.0, 0, 8783
Release #382, 0.8307, 0.0, 0, 4517
Release #383, 0.5071, 0.0, 0, 8533
Release #384, 0.5695, 0.0, 0, 5726
Release #385, 0.4812, 0.0, 0, 9909
Release #386, 0.553, 0.0, 0, 9458
Release #387, 0.2415, 0.0, 0, 9545
Release #388, 0.6837, 0.0, 0, 4570
Release #389, 0.99, 0.0, 0, 6575
Release #390, 0.7524, 0.0, 0, 9691
Release #391, 0.9883, 0.0, 0, 9191
Release #392, 0.9477, 0.0, 0, 6068
Release #393, 0.6782, 0.0, 0, 8365
Release #394, 0.8925, 0.0, 0, 1923
Release #395, 0.8311, 0.0, 0, 4245
Release #396, 0.9268, 0.0, 0, 8242
Release #397, 0.611, 3.0, 3, 6335
Release #398, 0.4654, 3.0, 3, 8133
Release #399, 0.6769, 0.0, 0, 8359
Release #400, 0.8279, 0.0, 0, 8696
Release #401, 0.8426, 0.0, 0, 8726
Release #402, 0.9011, 0.0, 0, 6932
Release #403, 0.926, 0.0, 0, 5553
Release #404, 0.9329, 0.0, 0, 6611
Release #405, 0.8429, 0.0, 0, 5566
Release #406, 0.4306, 0.0, 0, 9188
Release #407, 0.6816, 0.0, 0, 6288
Release #408, 0.8999, 0.0, 0, 7845
Release #409, 0.662, 0.0, 0, 8997
Release #410, 0.4785, 0.0, 0, 9591
Release #411, 0.5514, 0.0, 0, 9287
Release #412, 0.4807, 0.0, 0, 7230
Release #413, 0.9668, 0.0, 0, 7670
Release #414, 0.6831, 0.0, 0, 7119
Release #415, 0.7747, 0.0, 0, 4919
Release #416, 0.8009, 0.0, 0, 2126
Release #417, 0.9626, 0.0, 0, 3377
Release #418, 0.3514, 0.0, 0, 8984
Release #419, 0.1648, 0.0, 0, 8930
Release #420, 0.9608, 0.0, 0, 8624
Release #421, 0.4385, 0.0, 0, 8175
Release #422, 0.6145, 0.0, 0, 4439
Release #423, 0.7531, 0.0, 0, 5651
Release #424, 0.9423, 0.0, 0, 7501
Release #425, 0.5332, 0.0, 0, 9379
Release #426, 0.9576, 0.0, 0, 8918
Release #427, 0.4592, 0.0, 0, 7225
Release #428, 0.6161, 0.0, 0, 7395
Release #429, 0.8277, 0.0, 0, 4609
Release #430, 0.3838, 0.0, 0, 6236
Release #431, 0.9594, 0.0, 0, 6875
Release #432, 0.2722, 2.0, 2, 4655
Release #433, 0.8001, 0.0, 0, 7695
Release #434, 0.3755, 2.0, 2, 2500
Release #435, 0.7531, 0.0, 0, 7695
Release #436, 0.3717, 2.0, 2, 1729
